Date,Department,Category,Description,Amount
2025-06-14,Sales,Training,Workshop fee,28173.85
2025-06-20,Operations,Utilities,Water,4761.02
2025-03-12,Sales,Utilities,Internet bill,3229.54
2025-01-15,HR,Hardware,Monitor,24092.33
2025-05-03,Operations,Software,Antivirus license,24303.26
2025-04-06,Sales,Software,Antivirus license,3017.14
2025-04-08,Operations,Utilities,Internet bill,2792.32
2025-04-22,Sales,Utilities,Internet bill,39965.84
2025-06-06,Finance,Recruitment,Interview lunch,21592.69
2025-06-29,Sales,Hardware,Laptop,24270.43
2025-02-25,IT,Travel,Hotel stay,40130.79
2025-01-20,Marketing,Utilities,Water,40410.56
2025-06-30,Sales,Travel,Hotel stay,18576.29
2025-06-11,Finance,Hardware,Laptop,15647.99
2025-03-08,Operations,Training,Trainer fee,46271.03
2025-05-31,IT,Training,Course subscription,38197.94
2025-01-23,Marketing,Recruitment,Interview lunch,15635.01
2025-06-13,HR,Training,Course subscription,21471.54
2025-05-26,HR,Hardware,Printer,38072.77
2025-01-22,HR,Software,SaaS subscription,36974.41
2025-01-12,IT,Utilities,Internet bill,37365.36
2025-03-06,Sales,Utilities,Internet bill,24428.85
2025-05-17,Marketing,Software,Antivirus license,47894.58
2025-05-07,IT,Utilities,Water,48373.85
2025-05-21,Marketing,Training,Course subscription,11866.36
2025-04-11,Operations,Training,Course subscription,2802.79
2025-01-29,Finance,Recruitment,Interview lunch,7527.21
2025-01-17,Operations,Travel,Client visit,37402.96
2025-01-30,Finance,Utilities,Electricity,35840.36
2025-05-31,HR,Recruitment,Referral bonus,45131.37
2025-03-15,Operations,Hardware,Monitor,31046.52
2025-05-19,IT,Training,Workshop fee,8286.12
2025-02-27,Finance,Travel,Client visit,25133.4
2025-04-20,Marketing,Utilities,Electricity,12340.9
2025-01-30,IT,Software,CRM tool,32414.77
2025-03-11,Marketing,Utilities,Electricity,28735.83
2025-01-28,Marketing,Utilities,Water,45823.52
2025-06-03,Finance,Software,SaaS subscription,27793.54
2025-05-31,IT,Recruitment,Interview lunch,2265.63
2025-05-22,Operations,Travel,Flight booking,35529.95
2025-06-23,Marketing,Travel,Hotel stay,44235.31
2025-05-24,Marketing,Hardware,Monitor,1996.87
2025-03-25,HR,Utilities,Electricity,6866.18
2025-06-10,Finance,Utilities,Electricity,23402.36
2025-04-05,Operations,Software,Antivirus license,36540.84
2025-01-10,Finance,Hardware,Laptop,38753.75
2025-03-03,Marketing,Utilities,Internet bill,38379.68
2025-05-17,Sales,Training,Trainer fee,13449.24
2025-04-26,Marketing,Hardware,Laptop,3342.52
2025-03-30,Marketing,Utilities,Electricity,15487.01
